"","occupation","y1619","y2024","y2534","y3544","y4554","y5564","y65plus","medianage","totalemp","womenpct","whitepct","blackpct","asianpct","hispanicpct","totalempfull","medianwagefull","soccode","soctitle","isco","iscotitle","Title","description_1d","description_4d","mean_score","mean_exposure_level","SD","potential","plus55pct","mean_score100","highexposure"
"352","Skincare specialists",2,14,35,21,20,7,4,36.1,103,95.2,82.6,7.6,5.4,21.1,40,NA,"39-5094","Skincare Specialists",5142,"Beauticians and related workers","Beauticians and Related Workers","Service and sales workers","Beauticians and related workers",0.22,"Very low",0.27,"Other occupations",10.6796116504854,22,0
"353","Other personal appearance workers",3,3,16,5,4,3,1,NA,35,NA,NA,NA,NA,NA,9,NA,NA,NA,5142,NA,"Beauticians and Related Workers","Service and sales workers","Beauticians and related workers",0.22,"Very low",0.27,"Other occupations",11.4285714285714,22,0
"354","Baggage porters, bellhops, and concierges",4,14,9,20,13,11,10,40.1,81,29.9,52.7,37.6,6.6,24.3,61,816,NA,NA,9621,NA,"Messengers, Package Deliverers and Luggage Porters","Elementary occupations","Messengers, package deliverers and luggage porters",0.28,"Low",0.27,"Augmentation potential",25.9259259259259,28,0
"355","Tour and travel guides",7,7,10,7,5,9,11,40.2,57,38.7,89.6,1.7,3.9,13,25,NA,NA,NA,5113,NA,"Travel Guides","Service and sales workers","Travel guides",0.41,"Low",0.21,"Other occupations",35.7142857142857,41,0
"356","Childcare workers",101,168,190,157,148,139,81,37.1,984,94.4,73.6,15.9,5.8,24.9,380,693,"39-9011","Childcare Workers",5311,"Child care workers","Child Care Workers","Service and sales workers","Child care workers",0.21,"Very low",0.19,"Other occupations",22.3577235772358,21,0
"357","Exercise trainers and group fitness instructors",6,22,65,64,31,32,23,40.1,242,60.2,83.1,9.2,3.6,20,65,805,NA,NA,3423,NA,"Fitness and Recreation Instructors and Programme Leaders","Technicians and associate professionals","Fitness and recreation instructors and program leaders",0.38,"Low",0.22,"Augmentation potential",22.6337448559671,38,0
"358","Recreation workers",35,51,14,14,18,19,5,24.8,156,68.6,73.3,16.5,3.6,12.1,108,730,"39-9032","Recreation Workers",5169,"Personal services workers not elsewhere classified","Personal Services Workers Not Elsewhere Classified","Service and sales workers","Personal services workers not elsewhere classified",0.12,"Very low",0.08,"Other occupations",15.3846153846154,12,0
"359","Residential advisors",3,15,9,7,3,8,1,NA,47,NA,NA,NA,NA,NA,17,NA,"39-9041","Residential Advisors",5169,"Personal services workers not elsewhere classified","Personal Services Workers Not Elsewhere Classified","Service and sales workers","Personal services workers not elsewhere classified",0.12,"Very low",0.08,"Other occupations",19.5652173913043,12,0
"360","Personal care and service workers, all other",10,12,40,25,21,18,20,40.4,146,67.3,75.2,13.8,5.6,15.1,57,755,"39-9099","Personal Care and Service Workers, All Other",5162,"Companions and valets","Companions and Valets","Service and sales workers","Companions and valets",0.13,"Very low",0.06,"Other occupations",26.027397260274,13,0
"361","Personal care and service workers, all other",10,12,40,25,21,18,20,40.4,146,67.3,75.2,13.8,5.6,15.1,57,755,"39-9099","Personal Care and Service Workers, All Other",5169,"Personal services workers not elsewhere classified","Personal Services Workers Not Elsewhere Classified","Service and sales workers","Personal services workers not elsewhere classified",0.12,"Very low",0.08,"Other occupations",26.027397260274,12,0
"362","Personal care and service workers, all other",10,12,40,25,21,18,20,40.4,146,67.3,75.2,13.8,5.6,15.1,57,755,"39-9099","Personal Care and Service Workers, All Other",9510,"Street and related service workers","Street and Related Service Workers","Elementary occupations","Street and related service workers",0.28,"Low",0.25,"Augmentation potential",26.027397260274,28,0
"363","Personal care and service workers, all other",10,12,40,25,21,18,20,40.4,146,67.3,75.2,13.8,5.6,15.1,57,755,"39-9099","Personal Care and Service Workers, All Other",5152,"Domestic housekeepers","Domestic Housekeepers","Service and sales workers","Domestic housekeepers",0.22,"Very low",0.22,"Other occupations",26.027397260274,22,0
"364","First-line supervisors of retail sales workers",37,199,630,747,668,487,233,43.7,3001,44.4,79,9.6,7.7,15.3,2069,1022,"41-1011","First-Line Supervisors of Retail Sales Workers",5222,"Shop supervisors","Shop Supervisors","Service and sales workers","Shop supervisors",0.42,"Low",0.18,"Other occupations",23.9920026657781,42,0
"365","First-line supervisors of non-retail sales workers",5,38,212,283,278,232,93,46.5,1141,35.7,81.8,8.5,6.6,15.7,841,1418,"41-1012","First-Line Supervisors of Non-Retail Sales Workers",2433,"Technical and medical sales professionals (excluding ICT)","Technical and Medical Sales Professionals (excluding ICT)","Professionals","Technical and medical sales professionals (excluding ICT)",0.55,"Medium",0.21,"Other occupations",28.4837861524978,55,1
"366","First-line supervisors of non-retail sales workers",5,38,212,283,278,232,93,46.5,1141,35.7,81.8,8.5,6.6,15.7,841,1418,"41-1012","First-Line Supervisors of Non-Retail Sales Workers",2434,"Information and communications technology sales professionals","Information and Communications Technology Sales Professionals","Professionals","Information and communications technology sales professionals",0.55,"Medium",0.13,"Other occupations",28.4837861524978,55,1
"367","First-line supervisors of non-retail sales workers",5,38,212,283,278,232,93,46.5,1141,35.7,81.8,8.5,6.6,15.7,841,1418,"41-1012","First-Line Supervisors of Non-Retail Sales Workers",3311,"Securities and finance dealers and brokers","Securities and Finance Dealers and Brokers","Technicians and associate professionals","Securities and finance dealers and brokers",0.67,"Medium",0.04,"Automation potential",28.4837861524978,67,1
"368","First-line supervisors of non-retail sales workers",5,38,212,283,278,232,93,46.5,1141,35.7,81.8,8.5,6.6,15.7,841,1418,"41-1012","First-Line Supervisors of Non-Retail Sales Workers",3321,"Insurance representatives","Insurance Representatives","Technicians and associate professionals","Insurance representatives",0.46,"Low",0.22,"Other occupations",28.4837861524978,46,0
"369","First-line supervisors of non-retail sales workers",5,38,212,283,278,232,93,46.5,1141,35.7,81.8,8.5,6.6,15.7,841,1418,"41-1012","First-Line Supervisors of Non-Retail Sales Workers",3322,"Commercial sales representatives","Commercial Sales Representatives","Technicians and associate professionals","Commercial sales representatives",0.63,"Medium",0.19,"Other occupations",28.4837861524978,63,1
"370","First-line supervisors of non-retail sales workers",5,38,212,283,278,232,93,46.5,1141,35.7,81.8,8.5,6.6,15.7,841,1418,"41-1012","First-Line Supervisors of Non-Retail Sales Workers",3324,"Trade brokers","Trade Brokers","Technicians and associate professionals","Trade brokers",0.57,"Medium",0.14,"Other occupations",28.4837861524978,57,1
"371","First-line supervisors of non-retail sales workers",5,38,212,283,278,232,93,46.5,1141,35.7,81.8,8.5,6.6,15.7,841,1418,"41-1012","First-Line Supervisors of Non-Retail Sales Workers",3334,"Real estate agents and property managers","Real Estate Agents and Property Managers","Technicians and associate professionals","Real estate agents and property managers",0.38,"Low",0.19,"Augmentation potential",28.4837861524978,38,0
"372","First-line supervisors of non-retail sales workers",5,38,212,283,278,232,93,46.5,1141,35.7,81.8,8.5,6.6,15.7,841,1418,"41-1012","First-Line Supervisors of Non-Retail Sales Workers",3339,"Business services agents not elsewhere classified","Business Services Agents Not Elsewhere Classified","Technicians and associate professionals","Business services agents not elsewhere classified",0.52,"Medium",0.19,"Other occupations",28.4837861524978,52,1
"373","First-line supervisors of non-retail sales workers",5,38,212,283,278,232,93,46.5,1141,35.7,81.8,8.5,6.6,15.7,841,1418,"41-1012","First-Line Supervisors of Non-Retail Sales Workers",4221,"Travel consultants and clerks","Travel Consultants and Clerks","Clerical support workers","Travel consultants and clerks",0.74,"Medium",0.08,"Automation potential",28.4837861524978,74,1
"374","Cashiers",713,570,401,277,236,206,167,25.8,2569,68.9,70.3,16.1,7.9,23.6,1066,633,"41-2011","Cashiers",5230,"Cashiers and ticket clerks","Cashiers and Ticket Clerks","Service and sales workers","Cashiers and ticket clerks",0.26,"Low",0.24,"Other occupations",14.5136186770428,26,0
"375","Counter and rental clerks",6,10,14,10,7,10,6,38,62,48,71.7,13.7,9.5,13.1,47,NA,"41-2021","Counter and Rental Clerks",5249,"Sales workers not elsewhere classified","Sales Workers Not Elsewhere Classified","Service and sales workers","Sales workers not elsewhere classified",NA,NA,NA,"Other occupations",25.3968253968254,NA,0
"376","Parts salespersons",6,16,18,30,22,17,14,42.6,123,24.5,90.7,4.3,2.1,15.6,98,863,"41-2022","Parts Salespersons",5223,"Shop sales assistants","Shop Sales Assistants","Service and sales workers","Shop sales assistants",0.44,"Low",0.25,"Other occupations",25.2032520325203,44,0
"377","Retail salespersons",273,466,592,405,372,355,272,36.8,2734,47.5,79.9,11.1,4.9,21.1,1585,884,"41-2031","Retail Salespersons",5223,"Shop sales assistants","Shop Sales Assistants","Service and sales workers","Shop sales assistants",0.44,"Low",0.25,"Other occupations",22.9250457038391,44,0
"378","Advertising sales agents",0,6,42,26,27,17,6,41.3,124,54,89.5,3.3,4.4,12.4,113,1650,"41-3011","Advertising Sales Agents",3339,"Business services agents not elsewhere classified","Business Services Agents Not Elsewhere Classified","Technicians and associate professionals","Business services agents not elsewhere classified",0.52,"Medium",0.19,"Other occupations",18.5483870967742,52,1
"379","Insurance sales agents",4,35,129,138,126,98,59,44.4,589,51.1,79,13.5,4.6,18.3,435,1132,"41-3021","Insurance Sales Agents",3321,"Insurance representatives","Insurance Representatives","Technicians and associate professionals","Insurance representatives",0.46,"Low",0.22,"Other occupations",26.6553480475382,46,0
"380","Securities, commodities, and financial services sales agents",2,13,57,55,62,35,18,44,242,28.1,75.3,11,12.7,11.6,201,2082,"41-3031","Securities, Commodities, and Financial Services Sales Agents",3311,"Securities and finance dealers and brokers","Securities and Finance Dealers and Brokers","Technicians and associate professionals","Securities and finance dealers and brokers",0.67,"Medium",0.04,"Automation potential",21.900826446281,67,1
"381","Securities, commodities, and financial services sales agents",2,13,57,55,62,35,18,44,242,28.1,75.3,11,12.7,11.6,201,2082,"41-3031","Securities, Commodities, and Financial Services Sales Agents",3324,"Trade brokers","Trade Brokers","Technicians and associate professionals","Trade brokers",0.57,"Medium",0.14,"Other occupations",21.900826446281,57,1
"382","Travel agents",0,1,13,21,21,27,4,48.8,87,87.2,75.5,8.8,6.1,12.3,58,1093,"41-3041","Travel Agents",3339,"Business services agents not elsewhere classified","Business Services Agents Not Elsewhere Classified","Technicians and associate professionals","Business services agents not elsewhere classified",0.52,"Medium",0.19,"Other occupations",35.632183908046,52,1
"383","Travel agents",0,1,13,21,21,27,4,48.8,87,87.2,75.5,8.8,6.1,12.3,58,1093,"41-3041","Travel Agents",4221,"Travel consultants and clerks","Travel Consultants and Clerks","Clerical support workers","Travel consultants and clerks",0.74,"Medium",0.08,"Automation potential",35.632183908046,74,1
"384","Sales representatives of services, except advertising, insurance, financial services, and travel",6,55,201,174,118,98,49,41,701,31.5,82.4,7.8,5.3,13.1,617,1449,NA,NA,3322,NA,"Commercial Sales Representatives","Technicians and associate professionals","Commercial sales representatives",0.63,"Medium",0.19,"Other occupations",20.9700427960057,63,1
"385","Sales representatives, wholesale and manufacturing",8,52,246,235,240,237,98,46.2,1116,25.1,87.8,6.2,3.8,14.2,991,1569,NA,NA,3322,NA,"Commercial Sales Representatives","Technicians and associate professionals","Commercial sales representatives",0.63,"Medium",0.19,"Other occupations",30.0179211469534,63,1
"386","Models, demonstrators, and product promoters",3,15,9,6,4,3,11,31.8,52,77.1,64.1,12.4,6.6,33.6,19,NA,NA,NA,5242,NA,"Sales Demonstrators","Service and sales workers","Sales demonstrators",0.54,"Medium",0.23,"Other occupations",27.4509803921569,54,1
"387","Real estate brokers and sales agents",5,31,144,231,222,228,155,49.6,1016,56.7,82.3,9.7,6,12.7,398,1392,NA,NA,3334,NA,"Real Estate Agents and Property Managers","Technicians and associate professionals","Real estate agents and property managers",0.38,"Low",0.19,"Augmentation potential",37.6968503937008,38,0
"388","Sales engineers",0,1,13,10,11,10,3,NA,47,NA,NA,NA,NA,NA,38,NA,"41-9031","Sales Engineers",2434,"Information and communications technology sales professionals","Information and Communications Technology Sales Professionals","Professionals","Information and communications technology sales professionals",0.55,"Medium",0.13,"Other occupations",27.0833333333333,55,1
"389","Telemarketers",2,8,3,4,2,1,1,NA,22,NA,NA,NA,NA,NA,20,NA,"41-9041","Telemarketers",5244,"Contact centre salespersons","Contact Centre Salespersons","Service and sales workers","Contact centre salespersons",0.69,"Medium",0.15,"Automation potential",9.52380952380952,69,1
"390","Door-to-door sales workers, news and street vendors, and related workers",2,2,16,13,12,12,6,46.4,62,45.4,80,17.5,1.4,25.4,24,NA,"41-9091","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",5211,"Stall and market salespersons","Stall and Market Salespersons","Service and sales workers","Stall and market salespersons",0.39,"Low",0.2,"Augmentation potential",28.5714285714286,39,0
"391","Door-to-door sales workers, news and street vendors, and related workers",2,2,16,13,12,12,6,46.4,62,45.4,80,17.5,1.4,25.4,24,NA,"41-9091","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",5212,"Street food salespersons","Street Food Salespersons","Service and sales workers","Street food salespersons",0.18,"Very low",0.11,"Other occupations",28.5714285714286,18,0
"392","Door-to-door sales workers, news and street vendors, and related workers",2,2,16,13,12,12,6,46.4,62,45.4,80,17.5,1.4,25.4,24,NA,"41-9091","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",5243,"Door to door salespersons","Door-to-door Salespersons","Service and sales workers","Door to door salespersons",0.48,"Low",0.25,"Other occupations",28.5714285714286,48,0
"393","Door-to-door sales workers, news and street vendors, and related workers",2,2,16,13,12,12,6,46.4,62,45.4,80,17.5,1.4,25.4,24,NA,"41-9091","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",9520,"Street vendors (excluding food)","Street Vendors (excluding Food)","Elementary occupations","Street vendors (excluding food)",0.16,"Very low",0.05,"Other occupations",28.5714285714286,16,0
"394","Sales and related workers, all other",24,73,85,61,63,60,35,38.5,402,52.8,80.3,11.6,4.8,16.9,275,1060,"41-9099","Sales and Related Workers, All Other",3339,"Business services agents not elsewhere classified","Business Services Agents Not Elsewhere Classified","Technicians and associate professionals","Business services agents not elsewhere classified",0.52,"Medium",0.19,"Other occupations",23.6907730673317,52,1
"395","Sales and related workers, all other",24,73,85,61,63,60,35,38.5,402,52.8,80.3,11.6,4.8,16.9,275,1060,"41-9099","Sales and Related Workers, All Other",4213,"Pawnbrokers and money-lenders","Pawnbrokers and Money-lenders","Clerical support workers","Pawnbrokers and money-lenders",0.52,"Medium",0.16,"Other occupations",23.6907730673317,52,1
"396","Sales and related workers, all other",24,73,85,61,63,60,35,38.5,402,52.8,80.3,11.6,4.8,16.9,275,1060,"41-9099","Sales and Related Workers, All Other",5249,"Sales workers not elsewhere classified","Sales Workers Not Elsewhere Classified","Service and sales workers","Sales workers not elsewhere classified",NA,NA,NA,"Other occupations",23.6907730673317,NA,0
"397","First-line supervisors of office and administrative support workers",4,44,239,292,277,245,84,45.8,1186,68.2,81.1,10.8,4.2,15.2,1072,1161,"43-1011","First-Line Supervisors of Office and Administrative Support Workers",3341,"Office supervisors","Office Supervisors","Technicians and associate professionals","Office supervisors",0.41,"Low",0.14,"Other occupations",27.7637130801688,41,0
"398","Switchboard operators, including answering service",1,2,2,4,0,2,2,NA,12,NA,NA,NA,NA,NA,7,NA,"43-2011","Switchboard Operators, Including Answering Service",4223,"Telephone switchboard operators","Telephone Switchboard Operators","Clerical support workers","Telephone switchboard operators",0.58,"Medium",0.26,"Other occupations",30.7692307692308,58,1
"399","Telephone operators",0,0,6,2,2,3,3,NA,16,NA,NA,NA,NA,NA,6,NA,"43-2021","Telephone Operators",4223,"Telephone switchboard operators","Telephone Switchboard Operators","Clerical support workers","Telephone switchboard operators",0.58,"Medium",0.26,"Other occupations",37.5,58,1
"400","Communications equipment operators, all other",0,1,1,2,0,2,2,NA,7,NA,NA,NA,NA,NA,7,NA,"43-2099","Communications Equipment Operators, All Other",4229,"Client information workers not elsewhere classified","Client Information Workers Not Elsewhere Classified","Clerical support workers","Client information workers not elsewhere classified",0.54,"Medium",0.14,"Other occupations",50,54,1
"401","Bill and account collectors",0,1,30,29,24,21,9,43.9,113,74.8,64.9,30.2,2.4,19.1,100,982,"43-3011","Bill and Account Collectors",4214,"Debt-collectors and related workers","Debt Collectors and Related Workers","Clerical support workers","Debt-collectors and related workers",0.57,"Medium",0.13,"Other occupations",26.3157894736842,57,1
"402","Billing and posting clerks",3,26,89,88,85,76,24,43.7,392,86.6,77.1,15.5,3.9,17.6,338,870,"43-3021","Billing and Posting Clerks",4311,"Accounting and bookkeeping clerks","Accounting and Bookkeeping Clerks","Clerical support workers","Accounting and bookkeeping clerks",0.69,"Medium",0.07,"Automation potential",25.5754475703325,69,1
"403","Bookkeeping, accounting, and auditing clerks",11,72,165,229,252,306,162,50.1,1197,85.1,82.1,8.6,6.2,13.8,778,962,"43-3031","Bookkeeping, Accounting, and Auditing Clerks",3313,"Accounting associate professionals","Accounting Associate Professionals","Technicians and associate professionals","Accounting associate professionals",0.48,"Low",0.19,"Other occupations",39.0977443609023,48,0
"404","Bookkeeping, accounting, and auditing clerks",11,72,165,229,252,306,162,50.1,1197,85.1,82.1,8.6,6.2,13.8,778,962,"43-3031","Bookkeeping, Accounting, and Auditing Clerks",4311,"Accounting and bookkeeping clerks","Accounting and Bookkeeping Clerks","Clerical support workers","Accounting and bookkeeping clerks",0.69,"Medium",0.07,"Automation potential",39.0977443609023,69,1
"405","Gambling cage workers",1,3,1,1,5,4,4,NA,20,NA,NA,NA,NA,NA,17,NA,NA,NA,4212,NA,"Bookmakers, Croupiers and Related Gaming Workers","Clerical support workers","Bookmakers, croupiers and related gaming workers",0.52,"Medium",0.24,"Other occupations",42.1052631578947,52,1
"406","Payroll and timekeeping clerks",1,4,28,25,27,32,14,47.9,130,91.2,79.2,12,6,18,108,963,"43-3051","Payroll and Timekeeping Clerks",4313,"Payroll clerks","Payroll Clerks","Clerical support workers","Payroll clerks",0.62,"Medium",0.2,"Other occupations",35.1145038167939,62,1
"407","Procurement clerks",0,1,15,9,11,8,4,NA,48,NA,NA,NA,NA,NA,48,NA,"43-3061","Procurement Clerks",4110,"General office clerks","General Office Clerks","Clerical support workers","General office clerks",0.68,"Medium",0.22,"Other occupations",25,68,1
"408","Tellers",7,62,69,28,22,26,17,30.9,231,80.9,73.6,15.2,5.7,17.7,173,763,"43-3071","Tellers",4211,"Bank tellers and related clerks","Bank Tellers and Related Clerks","Clerical support workers","Bank tellers and related clerks",0.72,"Medium",0.14,"Automation potential",18.6147186147186,72,1
"409","Financial clerks, all other",0,13,42,31,33,25,3,42,148,60.9,73,12.4,10.7,19.8,131,1119,"43-3099","Financial Clerks, All Other",4213,"Pawnbrokers and money-lenders","Pawnbrokers and Money-lenders","Clerical support workers","Pawnbrokers and money-lenders",0.52,"Medium",0.16,"Other occupations",19.047619047619,52,1
"410","Financial clerks, all other",0,13,42,31,33,25,3,42,148,60.9,73,12.4,10.7,19.8,131,1119,"43-3099","Financial Clerks, All Other",4312,"Statistical, finance and insurance clerks","Statistical, Finance and Insurance Clerks","Clerical support workers","Statistical, finance and insurance clerks",0.66,"Medium",0.15,"Automation potential",19.047619047619,66,1
"411","Brokerage clerks",0,1,2,3,0,1,0,NA,8,NA,NA,NA,NA,NA,2,NA,"43-4011","Brokerage Clerks",4312,"Statistical, finance and insurance clerks","Statistical, Finance and Insurance Clerks","Clerical support workers","Statistical, finance and insurance clerks",0.66,"Medium",0.15,"Automation potential",14.2857142857143,66,1
"412","Correspondence clerks",0,1,3,3,0,0,1,NA,7,NA,NA,NA,NA,NA,3,NA,"43-4021","Correspondence Clerks",4225,"Enquiry clerks","Inquiry Clerks","Clerical support workers","Enquiry clerks",0.72,"Medium",0.1,"Automation potential",12.5,72,1
"413","Correspondence clerks",0,1,3,3,0,0,1,NA,7,NA,NA,NA,NA,NA,3,NA,"43-4021","Correspondence Clerks",4419,"Clerical support workers not elsewhere classified","Clerical Support Workers Not Elsewhere Classified","Clerical support workers","Clerical support workers not elsewhere classified",0.72,"Medium",0.1,"Automation potential",12.5,72,1
"414","Court, municipal, and license clerks",0,6,17,15,17,15,4,45.3,74,81.4,75.1,20.2,0.5,22.1,66,971,"43-4031","Court, Municipal, and License Clerks",3354,"Government licensing officials","Government Licensing Officials","Technicians and associate professionals","Government licensing officials",0.63,"Medium",0.03,"Automation potential",25.6756756756757,63,1
"415","Credit authorizers, checkers, and clerks",0,5,4,4,9,4,2,NA,28,NA,NA,NA,NA,NA,20,NA,"43-4041","Credit Authorizers, Checkers, and Clerks",4312,"Statistical, finance and insurance clerks","Statistical, Finance and Insurance Clerks","Clerical support workers","Statistical, finance and insurance clerks",0.66,"Medium",0.15,"Automation potential",21.4285714285714,66,1
"416","Customer service representatives",236,385,596,511,380,349,174,37.2,2632,65.7,72.2,18,5.7,21.4,1936,868,"43-4051","Customer Service Representatives",4222,"Contact centre information clerks","Contact Centre Information Clerks","Clerical support workers","Contact centre information clerks",0.72,"Medium",0.09,"Automation potential",19.8783732421133,72,1
"417","Eligibility interviewers, government programs",1,4,6,30,16,16,3,44.7,76,76.5,66.5,28.1,0,26.5,77,1000,"43-4061","Eligibility Interviewers, Government Programs",3353,"Government social benefits officials","Government Social Benefits Officials","Technicians and associate professionals","Government social benefits officials",0.49,"Low",0.09,"Other occupations",25,49,0
"418","Eligibility interviewers, government programs",1,4,6,30,16,16,3,44.7,76,76.5,66.5,28.1,0,26.5,77,1000,"43-4061","Eligibility Interviewers, Government Programs",4229,"Client information workers not elsewhere classified","Client Information Workers Not Elsewhere Classified","Clerical support workers","Client information workers not elsewhere classified",0.54,"Medium",0.14,"Other occupations",25,54,1
"419","File Clerks",3,7,36,30,20,19,10,40.3,125,78.1,72.4,15.3,5,21.4,103,895,NA,NA,4415,NA,"Filing and Copying Clerks","Clerical support workers","Filing and copying clerks",0.44,"Low",0.31,"Other occupations",23.2,44,0
"420","Hotel, motel, and resort desk clerks",4,22,17,14,11,11,6,35,85,74.4,71.7,20,4.4,11.9,64,737,"43-4081","Hotel, Motel, and Resort Desk Clerks",4224,"Hotel receptionists","Hotel Receptionists","Clerical support workers","Hotel receptionists",0.68,"Medium",0.14,"Automation potential",20,68,1
"421","Interviewers, except eligibility and loan",2,20,56,32,28,35,15,40.8,188,76.9,59.6,29,5.1,15.6,172,890,"43-4111","Interviewers, Except Eligibility and Loan",4227,"Survey and market research interviewers","Survey and Market Research Interviewers","Clerical support workers","Survey and market research interviewers",0.71,"Medium",0.13,"Automation potential",26.5957446808511,71,1
"422","Library assistants, clerical",3,18,12,10,6,10,7,35.9,66,84.2,71.1,13.8,7.2,13.4,25,NA,"43-4121","Library Assistants, Clerical",4411,"Library clerks","Library Clerks","Clerical support workers","Library clerks",0.4,"Low",0.3,"Other occupations",25.7575757575758,40,0
"423","Loan interviewers and clerks",0,6,29,32,16,16,3,40.3,102,71.2,83.2,14.2,0.8,9.9,106,1002,"43-4131","Loan Interviewers and Clerks",4312,"Statistical, finance and insurance clerks","Statistical, Finance and Insurance Clerks","Clerical support workers","Statistical, finance and insurance clerks",0.66,"Medium",0.15,"Automation potential",18.6274509803922,66,1
"424","New accounts clerks",0,0,7,2,2,2,1,NA,15,NA,NA,NA,NA,NA,14,NA,"43-4141","New Accounts Clerks",4312,"Statistical, finance and insurance clerks","Statistical, Finance and Insurance Clerks","Clerical support workers","Statistical, finance and insurance clerks",0.66,"Medium",0.15,"Automation potential",21.4285714285714,66,1
"425","Order clerks",2,19,20,14,13,20,7,39.5,94,56.7,80.2,9,6.6,26.3,62,885,"43-4151","Order Clerks",4419,"Clerical support workers not elsewhere classified","Clerical Support Workers Not Elsewhere Classified","Clerical support workers","Clerical support workers not elsewhere classified",0.72,"Medium",0.1,"Automation potential",28.4210526315789,72,1
"426","Human resources assistants, except payroll and timekeeping",0,6,17,32,14,15,9,42.5,93,84.6,71.5,18.1,8.6,18.3,78,1077,"43-4161","Human Resources Assistants, Except Payroll and Timekeeping",4416,"Personnel clerks","Personnel Clerks","Clerical support workers","Personnel clerks",0.71,"Medium",0.14,"Automation potential",25.8064516129032,71,1
"427","Receptionists and information clerks",57,259,277,195,176,158,81,35.9,1201,88.4,77.7,13.7,4.7,22.2,821,767,"43-4171","Receptionists and Information Clerks",4225,"Enquiry clerks","Inquiry Clerks","Clerical support workers","Enquiry clerks",0.72,"Medium",0.1,"Automation potential",19.8669991687448,72,1
"428","Receptionists and information clerks",57,259,277,195,176,158,81,35.9,1201,88.4,77.7,13.7,4.7,22.2,821,767,"43-4171","Receptionists and Information Clerks",4226,"Receptionists (general)","Receptionists (general)","Clerical support workers","Receptionists (general)",0.64,"Medium",0.21,"Other occupations",19.8669991687448,64,1
"429","Receptionists and information clerks",57,259,277,195,176,158,81,35.9,1201,88.4,77.7,13.7,4.7,22.2,821,767,"43-4171","Receptionists and Information Clerks",4222,"Contact centre information clerks","Contact Centre Information Clerks","Clerical support workers","Contact centre information clerks",0.72,"Medium",0.09,"Automation potential",19.8669991687448,72,1
"430","Reservation and transportation ticket agents and travel clerks",1,10,30,22,21,25,6,41,117,48.3,62.8,19.7,8,23.6,89,937,"43-4181","Reservation and Transportation Ticket Agents and Travel Clerks",4221,"Travel consultants and clerks","Travel Consultants and Clerks","Clerical support workers","Travel consultants and clerks",0.74,"Medium",0.08,"Automation potential",26.9565217391304,74,1
"431","Information and record clerks, all other",3,12,14,26,18,21,18,45.9,112,78.3,72.6,20.7,3.9,18.5,98,815,"43-4199","Information and Record Clerks, All Other",4229,"Client information workers not elsewhere classified","Client Information Workers Not Elsewhere Classified","Clerical support workers","Client information workers not elsewhere classified",0.54,"Medium",0.14,"Other occupations",34.8214285714286,54,1
"432","Information and record clerks, all other",3,12,14,26,18,21,18,45.9,112,78.3,72.6,20.7,3.9,18.5,98,815,"43-4199","Information and Record Clerks, All Other",4419,"Clerical support workers not elsewhere classified","Clerical Support Workers Not Elsewhere Classified","Clerical support workers","Clerical support workers not elsewhere classified",0.72,"Medium",0.1,"Automation potential",34.8214285714286,72,1
"433","Cargo and freight agents",0,1,4,5,2,1,1,NA,13,NA,NA,NA,NA,NA,12,NA,"43-5011","Cargo and Freight Agents",3324,"Trade brokers","Trade Brokers","Technicians and associate professionals","Trade brokers",0.57,"Medium",0.14,"Other occupations",14.2857142857143,57,1
"434","Cargo and freight agents",0,1,4,5,2,1,1,NA,13,NA,NA,NA,NA,NA,12,NA,"43-5011","Cargo and Freight Agents",3331,"Clearing and forwarding agents","Clearing and Forwarding Aents","Technicians and associate professionals","Clearing and forwarding agents",0.46,"Low",0.16,"Other occupations",14.2857142857143,46,0
"435","Couriers and messengers",30,93,235,200,140,139,52,40.6,889,29.8,68.4,21.6,5.7,23.6,464,890,"43-5021","Couriers and Messengers",4412,"Mail carriers and sorting clerks","Mail Carriers and Sorting Clerks","Clerical support workers","Mail carriers and sorting clerks",0.48,"Low",0.3,"Other occupations",21.4848143982002,48,0
"436","Couriers and messengers",30,93,235,200,140,139,52,40.6,889,29.8,68.4,21.6,5.7,23.6,464,890,"43-5021","Couriers and Messengers",8321,"Motorcycle drivers","Motorcycle Drivers","Plant and machine operators, and assemblers","Motorcycle drivers",0.26,"Low",0.26,"Augmentation potential",21.4848143982002,26,0
"437","Couriers and messengers",30,93,235,200,140,139,52,40.6,889,29.8,68.4,21.6,5.7,23.6,464,890,"43-5021","Couriers and Messengers",9331,"Hand and pedal vehicle drivers","Hand and Pedal Vehicle Drivers","Elementary occupations","Hand and pedal vehicle drivers",0.15,"Very low",0.09,"Other occupations",21.4848143982002,15,0
"438","Couriers and messengers",30,93,235,200,140,139,52,40.6,889,29.8,68.4,21.6,5.7,23.6,464,890,"43-5021","Couriers and Messengers",9621,"Messengers, package deliverers and luggage porters","Messengers, Package Deliverers and Luggage Porters","Elementary occupations","Messengers, package deliverers and luggage porters",0.28,"Low",0.27,"Augmentation potential",21.4848143982002,28,0
